,winery,wine,wine_notes,vintage,price,wine_notes_clean
2088,Château Cambon La Pelouse,"Château Cambon La Pelouse Haut-Médoc
-","This packs in some bramble, black cherry and blackberry fruit flavors, harnessing them with a singed alder frame and keeping them moving along with fresh acidity. Cabernet Sauvignon, Merlot and Petit Verdot. Drink now through 2025. 13,333 cases made. ",2017,$20,This packs in some bramble black cherry and blackberry fruit flavors harnessing them with a singed alder frame and keeping them moving along with fresh acidity Cabernet Sauvignon Merlot and Petit Verdot Drink now through cases made
2089,Schäfer-Fröhlich,"Schäfer-Fröhlich Riesling Nahe Felseneck GG
-","A very expressive, medium-bodied version, with lots of flesh, offset by powerful acidity that gives this ample energy and drive. Notes of jasmine, hops, yellow plum and kumquat impart charm midpalate, while hints of shaved ginger and lemon oil linger on the long, well-defined finish. Best from 2023 through 2036. 500 cases made, 56 cases imported. ",2018,$110,A very expressive medium bodied version with lots of flesh offset by powerful acidity that gives this ample energy and drive Notes of jasmine hops yellow plum and kumquat impart charm midpalate while hints of shaved ginger and lemon oil linger on the long well defined finish Best from through cases made cases imported
2090,Château Lamartine,"Château Lamartine Malbec Cahors
-","This focused red delivers smoke and mineral undertones flanking the plum and currant flavors, backed by moderate tannins. Accents of bay leaf, spice, violet and black licorice create depth and interest through the energetic finish. Malbec and Merlot. Drink now through 2028. 7,000 cases made, 1,000 cases imported. ",2016,$20,This focused red delivers smoke and mineral undertones flanking the plum and currant flavors backed by moderate tannins Accents of bay leaf spice violet and black licorice create depth and interest through the energetic finish Malbec and Merlot Drink now through cases made cases imported
2091,Oremus,"Oremus Furmint Tokaji Mandolás
-","A ripe and juicy note of Jonagold apple is layered with hints of beeswax, chive blossom and almond skin in this well-cut, medium-bodied white, which is lightly chalky in texture, with a saline-laced finish. Drink now through 2023. 9,900 cases made, 1,250 cases imported. ",2018,$26,A ripe and juicy note of Jonagold apple is layered with hints of beeswax chive blossom and almond skin in this well cut medium bodied white which is lightly chalky in texture with a saline laced finish Drink now through cases made cases imported
2092,Château Pavie-Decesse,"Château Pavie-Decesse St.-Emilion
-","This is laden with cassis and warmed plum compote notes, infused liberally with violet and anise accents. Gains depth and richness with air, yet maintains a racy edge due to its mouthwatering acidity and perfectly embedded chalky spine on the finish. Merlot and Cabernet Franc. Best from 2022 through 2040. Tasted twice, with consistent notes. 400 cases made. ",2017,$127,This is laden with cassis and warmed plum compote notes infused liberally with violet and anise accents Gains depth and richness with air yet maintains a racy edge due to its mouthwatering acidity and perfectly embedded chalky spine on the finish Merlot and Cabernet Franc Best from through Tasted twice with consistent notes cases made
2093,Klinker Brick,"Klinker Brick Grenache Blanc Lodi
-","Yellow apple, ripe Bartlett pear and tangerine flavors are pure and lush, set on a medium frame, with crisp acidity. Shows impressive focus and purity of flavor. Fresh finish. Drink now. 750 cases made. ",2019,$15,Yellow apple ripe Bartlett pear and tangerine flavors are pure and lush set on a medium frame with crisp acidity Shows impressive focus and purity of flavor Fresh finish Drink now cases made
2094,Albert Morot,"Albert Morot Beaune Cent-Vignes
-","Precision and purity are the hallmarks of this taut, linear red. Wild strawberry, cherry, stony mineral and earth notes are finely woven into the dense texture. Vibrant acidity drives the lingering finish. Best from 2022 through 2036. 500 cases made, 125 cases imported. ",2017,$53,Precision and purity are the hallmarks of this taut linear red Wild strawberry cherry stony mineral and earth notes are finely woven into the dense texture Vibrant acidity drives the lingering finish Best from through cases made cases imported
2095,Tenuta San Leonardo,"Tenuta San Leonardo Sauvignon Blanc Vigneti delle Dolomiti Vette
-","A subtly perfumed, floral nose of jasmine and chive blossom draws you into the glass of this creamy, light- to medium-bodied white, where mouthwatering acidity and finely knit flavors of nectarine, lemon curd and stone await. Drink now through 2025. 7,000 cases made, 650 cases imported. ",2018,$22,A subtly perfumed floral nose of jasmine and chive blossom draws you into the glass of this creamy light to medium bodied white where mouthwatering acidity and finely knit flavors of nectarine lemon curd and stone await Drink now through cases made cases imported
2096,Fowles,"Fowles Shiraz Victoria Ladies Who Shoot Their Lunch Wild Ferment
-","Blackberry and huckleberry flavors are concentrated and plump, with appealing details of black tea, clove and dried mint. Firm tannins never get in the way, firming up slightly on the finish. Drink now. 5,000 cases made, 1,000 cases imported. ",2018,$35,Blackberry and huckleberry flavors are concentrated and plump with appealing details of black tea clove and dried mint Firm tannins never get in the way firming up slightly on the finish Drink now cases made cases imported
2097,Alain Voge,"Alain Voge Cornas Les Chailles
-","A bright and fresh style, leading off with floral and bay leaf elements, followed by brisk-edged cassis and damson plum fruit flavors. The racy, mineral-pierced finish shows good persistence. Best from 2022 through 2032. 900 cases made, 40 cases imported. ",2017,$55,A bright and fresh style leading off with floral and bay leaf elements followed by brisk edged cassis and damson plum fruit flavors The racy mineral pierced finish shows good persistence Best from through cases made cases imported
2098,Grifalco della Lucania,"Grifalco della Lucania Aglianico del Vulture Gricos
-","This bright and well-knit red is medium- to full-bodied, with pleasing tension and creamy tannins defining flavors of mulberry, herbed olive and salty mineral. Aromatic accents of wild sage and bergamot linger on the finish. Drink now through 2025. 4,500 cases made, 1,600 cases imported. ",2017,$20,This bright and well knit red is medium to full bodied with pleasing tension and creamy tannins defining flavors of mulberry herbed olive and salty mineral Aromatic accents of wild sage and bergamot linger on the finish Drink now through cases made cases imported
2099,Moric,"Moric Burgenland Hausmarke
-","This combines power and grace, with a ripe profile and lively acidity. Flavors of cherry and currant harmonize with hints of loam, underbrush and hibiscus tea. Complex and fresh-tasting, but also firm, this red is intriguingly long and inviting. Blaufränkisch, Zweigelt and Pinot Noir. Drink now through 2026. 200 cases imported. ",2017,$25,This combines power and grace with a ripe profile and lively acidity Flavors of cherry and currant harmonize with hints of loam underbrush and hibiscus tea Complex and fresh tasting but also firm this red is intriguingly long and inviting Blaufr nkisch Zweigelt and Pinot Noir Drink now through cases imported
2100,Bodegas Marqués de Murrieta,"Bodegas Marqués de Murrieta Rioja Castillo Ygay Gran Reserva Especial
-","Maturing well, this round red is a lovely example of the traditional style. Orange peel, dried cherry, forest floor, vanilla and black tea flavors mingle harmoniously over round tannins and citrusy acidity. Generous but gentle, lively, balanced and harmonious. Tempranillo and Mazuelo. Drink now through 2030. 7,500 cases made, 680 cases imported. ",2010,$139,Maturing well this round red is a lovely example of the traditional style Orange peel dried cherry forest floor vanilla and black tea flavors mingle harmoniously over round tannins and citrusy acidity Generous but gentle lively balanced and harmonious Tempranillo and Mazuelo Drink now through cases made cases imported
2101,Aubert,"Aubert Pinot Noir Sonoma Coast UV Vineyard
-","Powerful and structured, with minerally richness to the fine-edged red fruit and savory spice flavors. The sleek finish offers impressive purity and clarity to the notes of hot stone, flint and underbrush. Best from 2021 through 2026. 993 cases made. ",2018,$85,Powerful and structured with minerally richness to the fine edged red fruit and savory spice flavors The sleek finish offers impressive purity and clarity to the notes of hot stone flint and underbrush Best from through cases made
2102,San Filippo,"San Filippo Brunello di Montalcino Le Lucére
-","Effusive aromas of black currant, blueberry, violet and iron mark this expressive red. Supple and harmonious, with a firm backbone of tannins that are refined and integrated. Shows terrific length and complexity. Best from 2023 through 2043. 1,300 cases made, 650 cases imported. ",2015,$90,Effusive aromas of black currant blueberry violet and iron mark this expressive red Supple and harmonious with a firm backbone of tannins that are refined and integrated Shows terrific length and complexity Best from through cases made cases imported
2103,Mayacamas,"Mayacamas Cabernet Sauvignon Mount Veeder
-","This distinctive red throws a lot of wild sage, herb and sassafras notes out first, while the core of intense red currant, damson plum and bitter cherry fruit waits its turn. The vibrant structure is built on acidity, pulling everything together through the iron-streaked finish. Should age wonderfully. Best from 2022 through 2040. 1,600 cases made. ",2016,$135,This distinctive red throws a lot of wild sage herb and sassafras notes out first while the core of intense red currant damson plum and bitter cherry fruit waits its turn The vibrant structure is built on acidity pulling everything together through the iron streaked finish Should age wonderfully Best from through cases made
2104,Domaine de la Vieille Julienne,"Domaine de la Vieille Julienne Châteauneuf-du-Pape Les Trois Sources
-","A lush, ripe style, with açaí berry, blueberry and plum reduction notes giving this a slightly exotic bent, while singed bay leaf, worn leather and warm tar accents keep this grounded in a slightly old-school way. Displays ample heft, yet energy ripples through the finish, accompanied by lingering garrigue and tobacco echoes. Best from 2022 through 2040. 2,000 cases made, 500 cases imported. ",2016,$90,A lush ripe style with a a berry blueberry and plum reduction notes giving this a slightly exotic bent while singed bay leaf worn leather and warm tar accents keep this grounded in a slightly old school way Displays ample heft yet energy ripples through the finish accompanied by lingering garrigue and tobacco echoes Best from through cases made cases imported
2105,Kistler,"Kistler Chardonnay Russian River Valley Vine Hill Vineyard
-","Complex, with crunchy acidity to the concentrated citrus and McIntosh apple flavors. Intense minerality shows midpalate, followed by a pure and powerful finish that lingers with dried savory herb and toasty hints. Best from 2022 through 2027. 1,979 cases made. ",2017,$90,Complex with crunchy acidity to the concentrated citrus and McIntosh apple flavors Intense minerality shows midpalate followed by a pure and powerful finish that lingers with dried savory herb and toasty hints Best from through cases made
2106,Massolino,"Massolino Barolo
-","A stream of pure, juicy cherry fruit is at the heart of this red, along with mineral, tobacco and wild herb notes. Firm and tightly wound, with a matrix of dense, refined tannins for support. All the elements are in the right proportions, this just needs time. Best from 2023 through 2045. 5,800 cases made, 2,100 cases imported. ",2016,$53,A stream of pure juicy cherry fruit is at the heart of this red along with mineral tobacco and wild herb notes Firm and tightly wound with a matrix of dense refined tannins for support All the elements are in the right proportions this just needs time Best from through cases made cases imported
2107,Bodega Piedra Negra,"Bodega Piedra Negra Chacayes Los Chacayes
-","Very elegant and rich, with concentrated kirsch, dark plum and cherry tart flavors, backed by medium-grained tannins and fresh acidity. Shows grip midpalate, leading to a finish that turns creamy and plush, primed with spicy richness and chocolate mousse accents. Malbec. Drink now through 2027. 3,000 cases made. ",2015,$99,Very elegant and rich with concentrated kirsch dark plum and cherry tart flavors backed by medium grained tannins and fresh acidity Shows grip midpalate leading to a finish that turns creamy and plush primed with spicy richness and chocolate mousse accents Malbec Drink now through cases made
2108,Beaux Frères,"Beaux Frères Pinot Noir Ribbon Ridge The Beaux Frères Vineyard
-","A wine of presence and expression, impeccably structured yet elegantly layered, with evocative raspberry, rose petal and brown baking spice notes that pick up richness and tension toward fine-grained tannins. Drink now through 2029. 3,088 cases made. ",2018,$95,A wine of presence and expression impeccably structured yet elegantly layered with evocative raspberry rose petal and brown baking spice notes that pick up richness and tension toward fine grained tannins Drink now through cases made
2109,Bollinger,"Bollinger Brut Champagne La Grande Année
-","This goes from zero to 60 right out of the gate, with an intense spine of acidity driving tightly meshed flavors of crushed black currant, ground coffee, candied grapefruit peel and toasted almond. The profile expands on the palate, carried by the fine, raw silk–like mousse. Richly aromatic and expressive from start to lasting, spiced finish. Disgorged July 2019. Drink now through 2037. 850 cases imported. ",2012,$175,This goes from zero to right out of the gate with an intense spine of acidity driving tightly meshed flavors of crushed black currant ground coffee candied grapefruit peel and toasted almond The profile expands on the palate carried by the fine raw silk like mousse Richly aromatic and expressive from start to lasting spiced finish Disgorged July Drink now through cases imported
2110,Castello di Volpaia,"Castello di Volpaia Chianti Classico Riserva
-","Enticing aromas of black cherry, black currant and violet are allied to flavors of iron, wet earth and spice in this red, which is loaded with fruit, vibrant acidity and well-mannered tannins. Shows terrific harmony now, yet possesses the structure to age. The long, mouthwatering finish extends the dark fruit and mineral elements. Best from 2021 through 2040. 6,000 cases made, 3,300 cases imported. ",2016,$40,Enticing aromas of black cherry black currant and violet are allied to flavors of iron wet earth and spice in this red which is loaded with fruit vibrant acidity and well mannered tannins Shows terrific harmony now yet possesses the structure to age The long mouthwatering finish extends the dark fruit and mineral elements Best from through cases made cases imported
2111,Bodegas y Viñedos Valderiz,"Bodegas y Viñedos Valderiz Ribera del Duero
-","The dense, polished texture carries rich, harmonious flavors in this elegant red. Blackberry and currant notes mingle with espresso, mineral, licorice and spice accents. Lovely floral hints emerge on the long, clean finish. Beautifully sculpted. Drink now through 2030. 2,000 cases made, 657 cases imported. ",2016,$40,The dense polished texture carries rich harmonious flavors in this elegant red Blackberry and currant notes mingle with espresso mineral licorice and spice accents Lovely floral hints emerge on the long clean finish Beautifully sculpted Drink now through cases made cases imported
2112,Tolaini,"Tolaini Cabernet Sauvignon Toscana Legit
-","An impressive red of breadth and depth, featuring black cherry, plum, leather, earth, iron and cedar aromas and flavors. This is solidly built and well-balanced, with finely honed tannins and lively acidity providing backbone. Best from 2021 through 2040. 15,000 cases made, 2,500 cases imported. ",2016,$45,An impressive red of breadth and depth featuring black cherry plum leather earth iron and cedar aromas and flavors This is solidly built and well balanced with finely honed tannins and lively acidity providing backbone Best from through cases made cases imported
2113,Felton Road,"Felton Road Pinot Noir Central Otago Bannockburn
-","Aromatic and expressive, with raspberry, cherry and fresh herb notes that are precise on a smooth and supple frame, offering details of matcha green tea, white pepper and forest floor. A hint of fresh nutmeg lingers on the long, expressive finish, where the tannins provide a slight grip. Drink now through 2034. 5,372 cases made, 199 cases imported. ",2018,$52,Aromatic and expressive with raspberry cherry and fresh herb notes that are precise on a smooth and supple frame offering details of matcha green tea white pepper and forest floor A hint of fresh nutmeg lingers on the long expressive finish where the tannins provide a slight grip Drink now through cases made cases imported
2114,Duckhorn,"Duckhorn Merlot Napa Valley Three Palms Vineyard
-","Powerful, rich and complex, with a refined mix of currant, dark cherry and plum tart flavors backed by suave, medium-grained tannins. Well-defined slate and loamy notes stretch out nicely on the finish, with black olive hints. Drink now through 2027. 4,678 cases made. ",2017,$110,Powerful rich and complex with a refined mix of currant dark cherry and plum tart flavors backed by suave medium grained tannins Well defined slate and loamy notes stretch out nicely on the finish with black olive hints Drink now through cases made
2115,Caprili,"Caprili Brunello di Montalcino
-","Offering cherry, plum, iron, earth and floral aromas and flavors, this is vibrant and beautifully balanced. Well-structured, with the harmony and concentration to develop. Best from 2023 through 2043. 4,000 cases made, 3,000 cases imported. ",2015,$60,Offering cherry plum iron earth and floral aromas and flavors this is vibrant and beautifully balanced Well structured with the harmony and concentration to develop Best from through cases made cases imported
2116,Bodegas Godeval,"Bodegas Godeval Valdeorras Viña Godeval Cepas Vellas
-","Firm and shapely, this white shows power and elegance. The polished texture carries lively flavors of grapefruit, quince, tarragon and flint. Electric acidity gives this energy. Harmonious and long. Drink now through 2026. 1,000 cases made, 600 cases imported. ",2018,$23,Firm and shapely this white shows power and elegance The polished texture carries lively flavors of grapefruit quince tarragon and flint Electric acidity gives this energy Harmonious and long Drink now through cases made cases imported
2117,Hall,"Hall Sauvignon Blanc Knights Valley
-","Stylish and memorable, this white strikes an ideal balance between richness and vibrancy, with a spicy, smoky note of palo santo and a juicy, crisp core of lemon curd, orange sherbet and dried apricot flavors. A touch of green tea lingers on the finish. Drink now through 2030. 1,225 cases made. ",2018,$35,Stylish and memorable this white strikes an ideal balance between richness and vibrancy with a spicy smoky note of palo santo and a juicy crisp core of lemon curd orange sherbet and dried apricot flavors A touch of green tea lingers on the finish Drink now through cases made
2118,Résonance,"Résonance Pinot Noir Willamette Valley
-","A wine with structure and presence, buoyed by a complex backbone of minerality, wrapped in refined dark cherry and black tea flavors and finishing with fine-grained tannins. Best from 2021 through 2029. 6,550 cases made. ",2017,$35,A wine with structure and presence buoyed by a complex backbone of minerality wrapped in refined dark cherry and black tea flavors and finishing with fine grained tannins Best from through cases made
2119,Caiarossa,"Caiarossa Toscana Pergolaia
-","Flavors of black cherry and blackberry stand up to the dense tannins in this fresh, deep and intense red, but this is equally about the vibrant acidity driving the fruit, wild herb nuances and spice-infused aftertaste. Sangiovese with Cabernet Franc, Cabernet Sauvignon and Merlot. Best from 2022 through 2040. 4,700 cases made, 1,200 cases imported. ",2016,$28,Flavors of black cherry and blackberry stand up to the dense tannins in this fresh deep and intense red but this is equally about the vibrant acidity driving the fruit wild herb nuances and spice infused aftertaste Sangiovese with Cabernet Franc Cabernet Sauvignon and Merlot Best from through cases made cases imported
2120,Joel Gott,"Joel Gott Sauvignon Blanc California
-","Lemon blossom, Asian pear, lime sherbet and candied orange peel notes are pure, fragrant and juicy in this silky white, with intensity and a lift of freshness on the finish from an accent of lemon verbena. Drink now. Tasted twice, with consistent notes. 98,000 cases made. ",2019,$12,Lemon blossom Asian pear lime sherbet and candied orange peel notes are pure fragrant and juicy in this silky white with intensity and a lift of freshness on the finish from an accent of lemon verbena Drink now Tasted twice with consistent notes cases made
2121,Pierre Amadieu,"Pierre Amadieu Gigondas Domaine Grand Romane
-","Ripe and juicy in feel, with a wound-up core of raspberry, black currant and cherry pâte de fruit flavors waiting to stretch out, while an undercurrent of alder, tobacco and licorice root notes moves through. Will be a winner when fully knit. Best from 2023 through 2035. 6,500 cases made, 1,000 cases imported. ",2017,$40,Ripe and juicy in feel with a wound up core of raspberry black currant and cherry p te de fruit flavors waiting to stretch out while an undercurrent of alder tobacco and licorice root notes moves through Will be a winner when fully knit Best from through cases made cases imported
2122,Allan Scott,"Allan Scott Sauvignon Blanc Marlborough
-","Supple and succulent, offering a generous and juicy mix of passion fruit, Key lime and ruby grapefruit flavors. Expressive and strong on the finish, with touches of freshly grated ginger and green tea. Drink now. 50,000 cases made, 16,000 cases imported. ",2020,$17,Supple and succulent offering a generous and juicy mix of passion fruit Key lime and ruby grapefruit flavors Expressive and strong on the finish with touches of freshly grated ginger and green tea Drink now cases made cases imported
2123,Produttori del Barbaresco,"Produttori del Barbaresco Barbaresco Rabajà Riserva
-","Though rich, this red offers bright acidity and dense tannins that lend a sense of tightness, with pure cherry, strawberry and floral flavors that are persistent from start to lingering finish, where distinct spice and mineral elements play out. Best from 2023 through 2045. 1,342 cases made, 275 cases imported. ",2015,$71,Though rich this red offers bright acidity and dense tannins that lend a sense of tightness with pure cherry strawberry and floral flavors that are persistent from start to lingering finish where distinct spice and mineral elements play out Best from through cases made cases imported
2124,Bodegas Montecillo,"Bodegas Montecillo Rioja Reserva
-","This plump red offers mulled cherry and plum flavors, with notes of cinnamon, sandalwood and cedar. Light tannins are well-integrated, while orange peel acidity keeps this fresh and focused. Harmonious and generous. Tempranillo, Mazuelo and Garnacha. Drink now through 2028. 26,500 cases made, 15,900 cases imported. ",2013,$18,This plump red offers mulled cherry and plum flavors with notes of cinnamon sandalwood and cedar Light tannins are well integrated while orange peel acidity keeps this fresh and focused Harmonious and generous Tempranillo Mazuelo and Garnacha Drink now through cases made cases imported
2125,Quivira,"Quivira Sauvignon Blanc Dry Creek Valley Fig Tree Vineyard
-","Verbena, beeswax and matcha green tea notes give way to a succulent, polished core of lemon curd, lanolin and quince flavors. Powerfully intense and focused, but the mouthwatering acidity keeps the flavors vivid, fresh and light-footed. Drink now. 1,310 cases made. ",2018,$24,Verbena beeswax and matcha green tea notes give way to a succulent polished core of lemon curd lanolin and quince flavors Powerfully intense and focused but the mouthwatering acidity keeps the flavors vivid fresh and light footed Drink now cases made
2126,Concha y Toro,"Concha y Toro Cabernet Sauvignon Puente Alto Gravas del Maipo
-","Precise and powerful, with fleshy richness to the dark currant, cassis and black olive flavors, matched to dried savory accents. Mocha and dark chocolate details show on the long, richly spiced finish. Drink now through 2027. 1,500 cases made, 500 cases imported. ",2017,$70,Precise and powerful with fleshy richness to the dark currant cassis and black olive flavors matched to dried savory accents Mocha and dark chocolate details show on the long richly spiced finish Drink now through cases made cases imported
2127,Bodegas Borsao,"Bodegas Borsao Syrah Campo de Borja Zarihs
-","This red marries the ripe fruit and toasty oak of the international style with a savory, rustic character. A thick, polished texture, supported by well-integrated tannins and balsamic acidity, carries dark plum, black pepper, soy sauce and loamy earth flavors that are seamless and long. Drink now through 2032. 8,000 cases made, 2,000 cases imported. ",2016,$22,This red marries the ripe fruit and toasty oak of the international style with a savory rustic character A thick polished texture supported by well integrated tannins and balsamic acidity carries dark plum black pepper soy sauce and loamy earth flavors that are seamless and long Drink now through cases made cases imported
2128,The Four Graces,"The Four Graces Pinot Noir Dundee Hills Reserve
-","A delicate and polished beauty, with expressive violet and raspberry aromas that open to gracefully layered cherry and spiced cinnamon accents that build richness toward refined tannins. Drink now through 2029. 3,064 cases made. ",2017,$40,A delicate and polished beauty with expressive violet and raspberry aromas that open to gracefully layered cherry and spiced cinnamon accents that build richness toward refined tannins Drink now through cases made
2129,Compañia de Vinos del Atlántico,"Compañia de Vinos del Atlántico Garnacha Montsant Pinyolet
-","This red has density and polish, with cherry and red plum flavors accented by forest floor, tobacco and licorice notes. Solid and balanced. Drink now through 2026. 3,500 cases made, 3,146 cases imported. ",2016,$15,This red has density and polish with cherry and red plum flavors accented by forest floor tobacco and licorice notes Solid and balanced Drink now through cases made cases imported
2130,Forge,"Forge Riesling Seneca Lake Dry Classique
-","Distinct, with mustard flower, yellow apple, quince and jasmine notes mixed together, carried on a slightly rounded, waxy frame and ending with a flash of quinine. Drink now through 2023. 4,000 cases made. ",2018,$19,Distinct with mustard flower yellow apple quince and jasmine notes mixed together carried on a slightly rounded waxy frame and ending with a flash of quinine Drink now through cases made
2131,Foradori,"Foradori Manzoni Bianco Vigneti delle Dolomiti Fontanasanta
-","Fragrant aromas and flavors of macerated peach, chamomile and white raspberry are finely meshed in this elegant, medium-bodied white, with mouthwatering acidity. Bright and distinctive, offering a lasting, spice- and saline-laced finish. Lightly chalky in texture. Drink now through 2028. 650 cases imported. ",2018,$30,Fragrant aromas and flavors of macerated peach chamomile and white raspberry are finely meshed in this elegant medium bodied white with mouthwatering acidity Bright and distinctive offering a lasting spice and saline laced finish Lightly chalky in texture Drink now through cases imported
2132,Ken Wright,"Ken Wright Pinot Noir Willamette Valley
-","Sleek and elegantly rich, with a vibrant backbone of polished tannins and bright acidity wrapped in expressive raspberry and orange zest flavors, with sandalwood and other zesty spice notes. Drink now through 2026. 18,000 cases made. ",2017,$22,Sleek and elegantly rich with a vibrant backbone of polished tannins and bright acidity wrapped in expressive raspberry and orange zest flavors with sandalwood and other zesty spice notes Drink now through cases made
2133,Glenelly,"Glenelly Chardonnay Stellenbosch Estate Reserve
-","Expressive and profound, beautifully balancing oak and fruit and floral flavors. Notes of apple, mint, heather and butter mingle in harmony, supported by vivid acidity. Picks up a bit of crunch toward the long, mouthwatering finish, adding to the interesting texture. Best from 2022 through 2032. 2,500 cases made, 1,009 cases imported. ",2018,$25,Expressive and profound beautifully balancing oak and fruit and floral flavors Notes of apple mint heather and butter mingle in harmony supported by vivid acidity Picks up a bit of crunch toward the long mouthwatering finish adding to the interesting texture Best from through cases made cases imported
2134,Trimbach,"Trimbach Riesling Alsace
-","A sleek, minerally white, with well-cut acidity defining flavors of white peach, pine and preserved lemon, showing a rich hint of passion fruit coulis. Fine and creamy, offering a lasting finish. Drink now through 2027. 30,000 cases made, 7,000 cases imported. ",2017,$25,A sleek minerally white with well cut acidity defining flavors of white peach pine and preserved lemon showing a rich hint of passion fruit coulis Fine and creamy offering a lasting finish Drink now through cases made cases imported
2135,Marchesi de' Frescobaldi,"Marchesi de' Frescobaldi Chianti Classico Tenuta Perano
-","The core black cherry and blackberry flavors are shaded by iron, petrol and tar elements, with wild Tuscan scrub accents. This is powerful and tannic, and needs some time to integrate. Best from 2021 through 2033. 2,000 cases imported. ",2015,$24,The core black cherry and blackberry flavors are shaded by iron petrol and tar elements with wild Tuscan scrub accents This is powerful and tannic and needs some time to integrate Best from through cases imported
2136,Bergström,"Bergström Pinot Noir Willamette Valley Cumberland Reserve
-","Dynamic yet harmonious, with expressive raspberry and rose petal aromas, accented by flavors of orange peel and dusky spice. Builds richness toward polished tannins. Drink now through 2028. 4,210 cases made. ",2018,$42,Dynamic yet harmonious with expressive raspberry and rose petal aromas accented by flavors of orange peel and dusky spice Builds richness toward polished tannins Drink now through cases made
2137,Bodegas Juan Gil,"Bodegas Juan Gil Jumilla Blue Label
-","This brawny red shows a savory character, with loamy earth, black tea and tobacco notes framing a rich core of currant and blackberry flavors. The muscular tannins are balanced by juicy acidity. Dense, balanced and expressive. Monastrell, Cabernet Sauvignon and Syrah. Drink now through 2032. 2,500 cases made, 1,250 cases imported. ",2017,$35,This brawny red shows a savory character with loamy earth black tea and tobacco notes framing a rich core of currant and blackberry flavors The muscular tannins are balanced by juicy acidity Dense balanced and expressive Monastrell Cabernet Sauvignon and Syrah Drink now through cases made cases imported
2138,Boscarelli,"Boscarelli Vino Nobile di Montepulciano
-","Expressive and harmonious, this red exhibits cherry, blackberry, violet and mineral aromas and flavors. Pure and elegant, with an underlying tension and intensity that drives the lingering aftertaste of fruit, stone and earth, showing a hint of wild herbs. Sangiovese, Canaiolo, Mammolo and Colorino. Best from 2022 through 2038. 4,200 cases made, 800 cases imported. ",2016,$41,Expressive and harmonious this red exhibits cherry blackberry violet and mineral aromas and flavors Pure and elegant with an underlying tension and intensity that drives the lingering aftertaste of fruit stone and earth showing a hint of wild herbs Sangiovese Canaiolo Mammolo and Colorino Best from through cases made cases imported
2139,Tensley,"Tensley Syrah Santa Barbara County Colson Canyon Vineyard
-","Shows ample torque at the core, wrapped in multilayered flavors of blueberry and cherry, accented by licorice, garrigue and crushed rock notes, finishing with brooding yet polished tannins. Drink now through 2028. 1,500 cases made. ",2018,$44,Shows ample torque at the core wrapped in multilayered flavors of blueberry and cherry accented by licorice garrigue and crushed rock notes finishing with brooding yet polished tannins Drink now through cases made
2140,Penfolds,"Penfolds Shiraz South Australia Bin 28 Kalimna
-","Shows terrific concentration, with dense and chewy tannins providing an appealing backdrop to the blueberry, dried cherry, date and candied ginger flavors. Tobacco, tomato leaf and espresso notes linger on the finish. Drink now through 2030. 9,560 cases imported. ",2018,$40,Shows terrific concentration with dense and chewy tannins providing an appealing backdrop to the blueberry dried cherry date and candied ginger flavors Tobacco tomato leaf and espresso notes linger on the finish Drink now through cases imported
2141,Gloria Ferrer,"Gloria Ferrer Brut Carneros Royal Cuvée Late Disgorged
-","A sumptuous and rich style, with vibrant Asian pear, fresh yeast roll and spiced nut flavors, taking on a steely structure on the long finish. Drink now. 4,800 cases made. ",2013,$40,A sumptuous and rich style with vibrant Asian pear fresh yeast roll and spiced nut flavors taking on a steely structure on the long finish Drink now cases made
2142,Domaine Bousquet,"Domaine Bousquet Malbec Tupungato
-","Offers a smoky aroma, with refined raspberry and red currant flavors, backed by crunchy acidity. Savory midpalate, with a fine-grained finish that offers black licorice and tar notes. Drink now through 2024. 88,540 cases made, 27,793 cases imported. ",2019,$13,Offers a smoky aroma with refined raspberry and red currant flavors backed by crunchy acidity Savory midpalate with a fine grained finish that offers black licorice and tar notes Drink now through cases made cases imported
2143,Hartford Court,"Hartford Court Chardonnay Russian River Valley
-","Luscious, rich and full of creamy white fruit flavors flanked by buttery accents. Spicy plushness lingers into the finish, with some honeyed notes. Drink now through 2024. 17,000 cases made. ",2018,$30,Luscious rich and full of creamy white fruit flavors flanked by buttery accents Spicy plushness lingers into the finish with some honeyed notes Drink now through cases made
2144,Ferraton Père & Fils,"Ferraton Père & Fils Crozes-Hermitage Calendes
-","Juicy and compact, featuring dark plum and blackberry fruit flavors, wrapped in sweet tobacco and licorice root notes. Shows a tarry edge on the finish. Drink now through 2025. 7,500 cases made, 1,000 cases imported. ",2017,$34,Juicy and compact featuring dark plum and blackberry fruit flavors wrapped in sweet tobacco and licorice root notes Shows a tarry edge on the finish Drink now through cases made cases imported
2145,Vasse Felix,"Vasse Felix Cabernet Sauvignon Margaret River Filius
-","Firm, showing off the region's signature fresh herbal notes, which give this aromatic lift and linger on the finish. Bay leaf, rosemary and cedar details are effortlessly infused into the cassis and plum flavors. A hint of black tea adds to the complexity, as does the seamlessness of the velvety tannins. Drink now through 2035. 18,000 cases made, 900 cases imported. ",2017,$28,Firm showing off the region s signature fresh herbal notes which give this aromatic lift and linger on the finish Bay leaf rosemary and cedar details are effortlessly infused into the cassis and plum flavors A hint of black tea adds to the complexity as does the seamlessness of the velvety tannins Drink now through cases made cases imported
